contigA	startA	endA	contigB	startB	endB	strand	mapq
I	3730369	3765328	I	3745312	3780271	+	60
I	3765328	3776933	I	3780272	3791877	+	60
I	3776933	3783029	I	3791878	3797974	+	60
I	3783030	3855790	I	3797974	3870734	+	60
I	3855791	3940025	I	3870734	3954968	+	60
I	3940025	3984278	I	3954969	3999222	+	60
I	3984278	4010237	I	3999732	4025691	+	60
I	4010237	4055052	I	4025692	4070507	+	60
I	4055052	4179701	I	4070508	4195157	+	60
I	4179701	4276890	I	4195158	4292347	+	60
I	4276890	4304169	I	4292348	4319627	+	60
I	4304169	4374342	I	4319628	4389801	+	60
I	4374343	4407494	I	4389801	4422952	+	60
I	4407494	4410191	I	4422953	4425650	+	60
I	4410192	4414201	I	4425650	4429659	+	60
I	4414202	4414723	I	4429659	4430180	+	60
I	4414723	4431856	I	4430185	4447318	+	60
I	4431856	4431868	I	4447319	4447331	+	60
I	4431868	4455149	I	4447332	4470613	+	60
I	4455149	4648159	I	4470614	4663624	+	60
I	4648160	4721875	I	4663624	4737339	+	60
I	4721875	4764253	I	4737340	4779718	+	60
I	4764253	4911431	I	4779719	4926897	+	60
I	4911431	4926046	I	4926898	4941513	+	60
I	4926046	5142627	I	4941514	5158095	+	60
I	5142627	5148414	I	5158096	5163883	+	60
I	5148415	5173087	I	5163883	5188555	+	60
I	5173087	5173430	I	5188556	5188899	+	60
I	5173430	5176926	I	5188900	5192396	+	60
I	5176926	5190744	I	5192397	5206215	+	60
I	5190744	5271432	I	5219916	5300604	+	60
I	5271432	5368262	I	5300608	5397438	+	60
I	5368263	5368273	I	5397438	5397448	+	60
I	5368273	5426622	I	5397449	5455798	+	60
I	5426622	5579133	I	5455799	5608310	+	60
II	0	15830	II	30836	46666	+	60
II	15830	80201	II	46667	111038	+	60
II	80201	128001	II	128819	176619	+	60
II	128002	146079	II	176619	194696	+	60
II	146080	484534	II	194696	533150	+	60
II	484534	603279	II	533151	651896	+	60
II	603280	603305	II	651896	651921	+	60
II	603306	670673	II	651921	719288	+	60
II	670673	692098	II	719393	740818	+	60
II	692710	700009	II	740818	748117	+	60
II	700010	888599	II	748117	936706	+	60
II	888600	903106	II	936706	951212	+	60
II	903106	997671	II	951213	1045778	+	60
II	997671	1019510	II	1045793	1067632	+	60
II	1019511	1079843	II	1067632	1127964	+	60
II	1079843	1163154	II	1127965	1211276	+	60
II	1163155	1266289	II	1211276	1314410	+	60
II	1266289	1277481	II	1314411	1325603	+	60
II	1277481	1308618	II	1325605	1356742	+	60
II	1308619	1389139	II	1356742	1437262	+	60
II	1389139	1555919	II	1437263	1604043	+	60
II	1555919	1588936	II	1604049	1637066	+	60
II	1588936	1616137	II	1637068	1664269	+	60
II	1616670	1620412	II	1664269	1668011	+	60
II	1620413	1678205	II	1668011	1725803	+	60
II	1678206	1748646	II	1725803	1796243	+	60
II	1748647	1805315	II	1796243	1852911	+	60
II	1805315	1816760	II	1852912	1864357	+	60
II	1816760	1861420	II	1864358	1909018	+	60
II	1861421	1867795	II	1909018	1915392	+	60
II	1867795	1868122	II	1915393	1915720	+	60
II	1868122	1873779	II	1915721	1921378	+	60
II	1873779	1877294	II	1921379	1924894	+	60
II	1877294	1941966	II	1924895	1989567	+	60
II	1941966	1941982	II	1989568	1989584	+	60
II	1941982	1948953	II	1989585	1996556	+	60
II	1948954	1950050	II	1996556	1997652	+	60
II	1950050	1955495	II	1997653	2003098	+	60
II	1955495	1960392	II	2003099	2007996	+	60
II	1960392	1967474	II	2007997	2015079	+	60
II	1967474	1987101	II	2015080	2034707	+	60
II	1987102	1987117	II	2034707	2034722	+	60
II	1987118	2023193	II	2034722	2070797	+	60
II	2023193	2049891	II	2070799	2097497	+	60
II	2049892	2053516	II	2097497	2101121	+	60
II	2053516	2108180	II	2101122	2155786	+	60
II	2108180	2147708	II	2155787	2195315	+	60
II	2148295	2187407	II	2195315	2234427	+	60
II	2187407	2219928	II	2234428	2266949	+	60
II	2219928	2293297	II	2266950	2340319	+	60
II	2293298	2437629	II	2340319	2484650	+	60
II	2437629	2443873	II	2485082	2491326	+	60
II	2443873	2523624	II	2491328	2571079	+	60
II	2523624	2592423	II	2571080	2639879	+	60
II	2592423	2619448	II	2639880	2666905	+	60
II	2619450	2630607	II	2666905	2678062	+	60
II	2630607	2640785	II	2678063	2688241	+	60
II	2640785	2709414	II	2688242	2756871	+	60
II	2709414	2755338	II	2756872	2802796	+	60
II	2755340	2788933	II	2802796	2836389	+	60
II	2788933	2798040	II	2836390	2845497	+	60
II	2798041	2798514	II	2845497	2845970	+	60
II	2798515	2811495	II	2845970	2858950	+	60
II	2811496	2938956	II	2858950	2986410	+	60
II	2938956	3040332	II	2986411	3087787	+	60
II	3040332	3171788	II	3087788	3219244	+	60
II	3171788	3253453	II	3219245	3300910	+	60
II	3253453	3619003	II	3300911	3666461	+	60
II	3619003	3799350	II	3666462	3846809	+	60
II	3799350	3838101	II	3846810	3885561	+	60
II	3838102	3860185	II	3885561	3907644	+	60
II	3860190	4031460	II	3907644	4078914	+	60
II	4031460	4107253	II	4078915	4154708	+	60
II	4107253	4254960	II	4154711	4302418	+	60
II	4254961	4308414	II	4302418	4355871	+	60
II	4308414	4419921	II	4355872	4467379	+	60
II	4419921	4521677	II	4467380	4569136	+	60
II	4521679	4526174	II	4569136	4573631	+	60
II	4526174	4526230	II	4573632	4573688	+	60
II	4526230	4529375	II	4573689	4576834	+	60
II	4529375	4537213	II	4576858	4584696	+	60
II	4537213	4537387	II	4584697	4584871	+	60
II	4537395	4537712	II	4584871	4585188	+	60
II	4538652	4539204	II	4585188	4585740	+	60
II	4539236	4539804	II	4585740	4586308	+	60
III	720001	720683	III	732202	732884	+	60
III	720683	867865	III	732885	880067	+	60
III	867866	961938	III	880067	974139	+	60
III	961938	970892	III	977181	986135	+	60
III	970892	1016311	III	986136	1031555	+	60
III	1016311	1079346	III	1031556	1094591	+	60
III	1079346	1080146	III	1094592	1095392	+	60
III	1080146	1083348	III	1095400	1098602	+	60
III	1083348	1084059	III	1156667	1157378	+	60
III	1084059	1103423	III	1157391	1176755	+	60
III	1103424	1114773	III	1176755	1188104	+	60
III	1135118	1252505	III	1188104	1305491	+	60
III	1252505	1493950	III	1305493	1546938	+	60
III	1493950	1575951	III	1547262	1629263	+	60
III	1575951	1685487	III	1629264	1738800	+	60
III	1685487	1756400	III	1738801	1809714	+	60
III	1756401	1774235	III	1809714	1827548	+	60
III	1774235	2270459	III	1827552	2323776	+	60
III	2270459	2382018	III	2323777	2435336	+	60
III	2382019	2448309	III	2435336	2501626	+	60
III	2448311	2448518	III	2501626	2501833	+	60
III	2448518	2452883	III	2501834	2506199	+	60
III	0	253907	III	12205	266112	+	60
III	253907	286478	III	266113	298684	+	60
III	286480	286594	III	298684	298798	+	60
III	286594	365747	III	298799	377952	+	60
III	365748	717677	III	377952	729881	+	60
III	717678	719956	III	729881	732159	+	60
