contigA	startA	endA	contigB	startB	endB	strand	mapq
I	3776933	3783029	I	3799960	3806056	+	60
I	3783030	3855790	I	3806056	3878816	+	60
I	3855791	3940025	I	3878816	3963050	+	60
I	3940025	3984278	I	3963051	4007304	+	60
I	3984278	4055052	I	4007814	4078588	+	60
I	4055052	4179701	I	4078589	4203238	+	60
I	4179701	4276890	I	4203239	4300428	+	60
I	4276890	4304169	I	4300429	4327708	+	60
I	4304169	4374342	I	4327709	4397882	+	60
I	4374343	4407494	I	4397882	4431033	+	60
I	4407494	4410191	I	4431034	4433731	+	60
I	4410192	4414201	I	4433731	4437740	+	60
I	4414202	4414723	I	4437740	4438261	+	60
I	4414723	4431856	I	4438266	4455399	+	60
I	4431856	4431868	I	4455400	4455412	+	60
I	4431868	4455149	I	4455413	4478694	+	60
I	4455149	4524584	I	4478695	4548130	+	60
I	4527621	4604649	I	4548131	4625159	+	60
I	4604649	4721875	I	4625160	4742386	+	60
I	4721875	4764253	I	4742387	4784765	+	60
I	4764253	4911431	I	4784766	4931944	+	60
I	4911431	4926046	I	4931946	4946561	+	60
I	4926046	5055030	I	4946562	5075546	+	60
I	5055031	5096442	I	5075546	5116957	+	60
I	5096442	5142627	I	5116958	5163143	+	60
I	5142627	5148414	I	5163144	5168931	+	60
I	5148415	5173087	I	5168931	5193603	+	60
I	5173087	5173430	I	5193604	5193947	+	60
I	5173430	5176926	I	5193948	5197444	+	60
I	5176926	5190744	I	5197445	5211263	+	60
I	5190744	5271432	I	5215830	5296518	+	60
I	5271432	5368262	I	5296522	5393352	+	60
I	5368263	5368273	I	5393352	5393362	+	60
I	5368273	5426622	I	5393363	5451712	+	60
I	5426622	5559279	I	5451713	5584370	+	60
I	5559279	5579133	I	5584371	5604225	+	60
II	2115361	2132459	II	2203359	2220457	+	60
II	2132459	2147708	II	2232676	2247925	+	60
II	2148295	2187407	II	2247925	2287037	+	60
II	2187407	2199987	II	2287038	2299618	+	60
II	2199992	2219928	II	2299618	2319554	+	60
II	2219928	2293297	II	2319555	2392924	+	60
II	2293298	2322353	II	2392924	2421979	+	60
II	2322353	2437629	II	2421980	2537256	+	60
II	2437629	2443175	II	2537688	2543234	+	60
II	2443175	2443873	II	2543236	2543934	+	60
II	2443873	2523624	II	2543937	2623688	+	60
II	2523624	2592423	II	2623689	2692488	+	60
II	2592423	2619448	II	2692489	2719514	+	60
II	2619449	2630607	II	2719514	2730672	+	60
II	2630607	2640785	II	2730673	2740851	+	60
II	2640785	2709414	II	2740852	2809481	+	60
II	2709414	2713912	II	2809482	2813980	+	60
II	2713912	2755338	II	2813981	2855407	+	60
II	2755340	2788933	II	2855407	2889000	+	60
II	2788933	2798040	II	2889001	2898108	+	60
II	2798041	2798514	II	2898108	2898581	+	60
II	2798515	2811495	II	2898581	2911561	+	60
II	2811496	2938956	II	2911561	3039021	+	60
II	2938956	3040332	II	3039022	3140398	+	60
II	3040332	3171788	II	3140399	3271855	+	60
II	3171788	3253453	II	3271856	3353521	+	60
II	3253453	3429091	II	3353522	3529160	+	60
II	3429091	3619003	II	3529169	3719081	+	60
II	3619003	3777548	II	3719082	3877627	+	60
II	3777548	3799350	II	3877628	3899430	+	60
II	3799350	3838101	II	3899431	3938182	+	60
II	3838102	3860185	II	3938182	3960265	+	60
II	3860190	4031460	II	3960265	4131535	+	60
II	4031460	4107253	II	4131537	4207330	+	60
II	4107253	4254960	II	4207333	4355040	+	60
II	4254961	4308414	II	4355040	4408493	+	60
II	4308414	4419921	II	4408494	4520001	+	60
II	4419921	4497110	II	4520002	4597191	+	60
II	4497110	4500174	II	4597192	4600256	+	60
II	4500174	4521677	II	4600259	4621762	+	60
II	4521679	4525340	II	4621762	4625423	+	60
II	4525340	4526174	II	4625424	4626258	+	60
II	4526175	4526230	II	4626258	4626313	+	60
II	4526230	4529375	II	4626314	4629459	+	60
II	4529375	4537213	II	4629483	4637321	+	60
II	4537213	4537387	II	4637322	4637496	+	60
II	4537395	4537712	II	4637496	4637813	+	60
II	4538652	4539204	II	4637813	4638365	+	60
II	4539236	4539804	II	4638365	4638933	+	60
II	0	15830	II	29767	45597	+	60
II	15830	80201	II	45598	109969	+	60
II	80201	128001	II	127750	175550	+	60
II	128002	146079	II	175550	193627	+	60
II	146080	154603	II	193627	202150	+	60
II	154603	400900	II	208537	454834	+	60
II	400900	484534	II	454835	538469	+	60
II	484534	520627	II	538470	574563	+	60
II	520627	526883	II	574564	580820	+	60
II	526883	602525	II	580852	656494	+	60
II	602526	603279	II	656494	657247	+	60
II	603280	603305	II	657247	657272	+	60
II	603306	670673	II	657272	724639	+	60
II	670673	692098	II	724744	746169	+	60
II	692710	693100	II	746169	746559	+	60
II	693244	693574	II	746559	746889	+	60
II	693646	694255	II	746889	747498	+	60
II	694327	694751	II	747498	747922	+	60
II	695435	700009	II	747922	752496	+	60
II	700010	888599	II	752496	941085	+	60
II	888600	903106	II	941085	955591	+	60
II	903106	997671	II	955592	1050157	+	60
II	997707	1019510	II	1050157	1071960	+	60
II	1019511	1045366	II	1071960	1097815	+	60
II	1045366	1079843	II	1098499	1132976	+	60
II	1079843	1104941	II	1132977	1158075	+	60
II	1104941	1163154	II	1158077	1216290	+	60
II	1163155	1266289	II	1216290	1319424	+	60
II	1266289	1277481	II	1319425	1330617	+	60
II	1277481	1308618	II	1330621	1361758	+	60
II	1308619	1365999	II	1361758	1419138	+	60
II	1365999	1389139	II	1419140	1442280	+	60
II	1389139	1466104	II	1442281	1519246	+	60
II	1466105	1555919	II	1519246	1609060	+	60
II	1555919	1588936	II	1609066	1642083	+	60
II	1588936	1606804	II	1642085	1659953	+	60
II	1606804	1612985	II	1659965	1666146	+	60
II	1612985	1616570	II	1666152	1669737	+	60
II	1616570	1620412	II	1704588	1708430	+	60
II	1620413	1678205	II	1708430	1766222	+	60
II	1678206	1747580	II	1766222	1835596	+	60
II	1747581	1748646	II	1835596	1836661	+	60
II	1748647	1757193	II	1836661	1845207	+	60
II	1757193	1805315	II	1845208	1893330	+	60
II	1805315	1816760	II	1893332	1904777	+	60
II	1816760	1818220	II	1904778	1906238	+	60
II	1818225	1861420	II	1906238	1949433	+	60
II	1861421	1867795	II	1949433	1955807	+	60
II	1867795	1868122	II	1955808	1956135	+	60
II	1868122	1873779	II	1956136	1961793	+	60
II	1873779	1877294	II	1961794	1965309	+	60
II	1877294	1941966	II	1965310	2029982	+	60
II	1941966	1941982	II	2029983	2029999	+	60
II	1941982	1948953	II	2030000	2036971	+	60
II	1948954	1950050	II	2036971	2038067	+	60
II	1950050	1955495	II	2038068	2043513	+	60
II	1955495	1960392	II	2043514	2048411	+	60
II	1960392	1967474	II	2048412	2055494	+	60
II	1967474	1987101	II	2055495	2075122	+	60
II	1987102	1987117	II	2075122	2075137	+	60
II	1987118	2023193	II	2075137	2111212	+	60
II	2023193	2049891	II	2111214	2137912	+	60
II	2049892	2053516	II	2137912	2141536	+	60
II	2053516	2108180	II	2141537	2196201	+	60
II	2108180	2114234	II	2196202	2202256	+	60
III	720001	720683	III	725894	726576	+	60
III	720683	867865	III	726577	873759	+	60
III	867866	936705	III	873759	942598	+	60
III	936705	962574	III	942599	968468	+	60
III	962574	985871	III	971744	995041	+	60
III	985871	1016311	III	995042	1025482	+	60
III	1016311	1080146	III	1025483	1089318	+	60
III	1080146	1083348	III	1089334	1092536	+	60
III	1083348	1084072	III	1097289	1098013	+	60
III	1084072	1114773	III	1151259	1181960	+	60
III	1135105	1168362	III	1181960	1215217	+	60
III	1168362	1168405	III	1215218	1215261	+	60
III	1168406	1252505	III	1215261	1299360	+	60
III	1252505	1276315	III	1299363	1323173	+	60
III	1276315	1395394	III	1323174	1442253	+	60
III	1395394	1493950	III	1442254	1540810	+	60
III	1493950	1575951	III	1541134	1623135	+	60
III	1575951	1685487	III	1623136	1732672	+	60
III	1685487	1756400	III	1732673	1803586	+	60
III	1756401	1774235	III	1803586	1821420	+	60
III	1774235	2149308	III	1821424	2196497	+	60
III	2149310	2352293	III	2196497	2399480	+	60
III	2352293	2442958	III	2399484	2490149	+	60
III	2442959	2443157	III	2490149	2490347	+	60
III	2443157	2443433	III	2490348	2490624	+	60
III	2443434	2443562	III	2490624	2490752	+	60
III	2443562	2447996	III	2490753	2495187	+	60
III	2447996	2448309	III	2495193	2495506	+	60
III	2448311	2450630	III	2495506	2497825	+	60
III	2450631	2451704	III	2497825	2498898	+	60
III	2451704	2452883	III	2498901	2500080	+	60
III	0	4729	III	5901	10630	+	60
III	4729	5256	III	10631	11158	+	60
III	5256	16521	III	11160	22425	+	60
III	16521	23298	III	22431	29208	+	60
III	23299	46959	III	29208	52868	+	60
III	46959	138018	III	52872	143931	+	60
III	138018	221285	III	143932	227199	+	60
III	221306	253907	III	227199	259800	+	60
III	253907	286478	III	259802	292373	+	60
III	286478	286594	III	292374	292490	+	60
III	286594	365747	III	292491	371644	+	60
III	365748	717677	III	371644	723573	+	60
III	717678	719956	III	723573	725851	+	60
