contigA	startA	endA	contigB	startB	endB	strand	mapq
II	1319425	1330617	II	1266289	1277481	+	60
II	1330621	1361758	II	1277481	1308618	+	60
II	1361758	1419138	II	1308619	1365999	+	60
II	1419140	1442280	II	1365999	1389139	+	60
II	1442281	1519246	II	1389139	1466104	+	60
II	1519246	1609060	II	1466105	1555919	+	60
II	1609066	1642083	II	1555919	1588936	+	60
II	1642085	1659953	II	1588936	1606804	+	60
II	1659965	1666146	II	1606804	1612985	+	60
II	1666152	1669737	II	1612985	1616570	+	60
II	1704588	1708430	II	1616570	1620412	+	60
II	1708430	1766222	II	1620413	1678205	+	60
II	1766222	1835596	II	1678206	1747580	+	60
II	1835596	1836661	II	1747581	1748646	+	60
II	1836661	1893329	II	1748647	1805315	+	60
II	1893331	1904776	II	1805315	1816760	+	60
II	1904777	1906237	II	1816760	1818220	+	60
II	1906237	1949432	II	1818225	1861420	+	60
II	1949432	1955806	II	1861421	1867795	+	60
II	1955807	1956134	II	1867795	1868122	+	60
II	1956135	1961792	II	1868122	1873779	+	60
II	1961793	1965308	II	1873779	1877294	+	60
II	1965309	2029981	II	1877294	1941966	+	60
II	2029982	2029998	II	1941966	1941982	+	60
II	2029999	2036970	II	1941982	1948953	+	60
II	2036970	2038066	II	1948954	1950050	+	60
II	2038067	2043512	II	1950050	1955495	+	60
II	2043513	2048410	II	1955495	1960392	+	60
II	2048411	2055493	II	1960392	1967474	+	60
II	2055494	2075121	II	1967474	1987101	+	60
II	2075121	2075136	II	1987102	1987117	+	60
II	2075136	2111211	II	1987118	2023193	+	60
II	2111213	2137911	II	2023193	2049891	+	60
II	2137911	2141535	II	2049892	2053516	+	60
II	2141536	2196200	II	2053516	2108180	+	60
II	2196201	2202255	II	2108180	2114234	+	60
II	2203358	2220456	II	2115361	2132459	+	60
II	2232675	2247924	II	2132459	2147708	+	60
II	2247924	2287036	II	2148295	2187407	+	60
II	2287037	2299617	II	2187407	2199987	+	60
II	2299617	2319553	II	2199992	2219928	+	60
II	2319554	2392923	II	2219928	2293297	+	60
II	2392923	2421978	II	2293298	2322353	+	60
II	2421979	2537255	II	2322353	2437629	+	60
II	2537687	2543233	II	2437629	2443175	+	60
II	2543235	2543933	II	2443175	2443873	+	60
II	2543936	2623687	II	2443873	2523624	+	60
II	2623688	2692487	II	2523624	2592423	+	60
II	2692488	2719513	II	2592423	2619448	+	60
II	2719513	2730671	II	2619449	2630607	+	60
II	2730672	2740850	II	2630607	2640785	+	60
II	2740851	2809480	II	2640785	2709414	+	60
II	2809481	2813979	II	2709414	2713912	+	60
II	2813980	2855406	II	2713912	2755338	+	60
II	2855406	2888999	II	2755340	2788933	+	60
II	2889000	2898107	II	2788933	2798040	+	60
II	2898107	2898580	II	2798041	2798514	+	60
II	2898580	2911560	II	2798515	2811495	+	60
II	2911560	3039020	II	2811496	2938956	+	60
II	3039021	3140397	II	2938956	3040332	+	60
II	3140398	3271854	II	3040332	3171788	+	60
II	3271855	3353520	II	3171788	3253453	+	60
II	3353521	3719071	II	3253453	3619003	+	60
II	3719072	3877617	II	3619003	3777548	+	60
II	3877618	3899420	II	3777548	3799350	+	60
II	3899421	3938172	II	3799350	3838101	+	60
II	3938172	3960255	II	3838102	3860185	+	60
II	3960255	4131525	II	3860190	4031460	+	60
II	4131527	4207320	II	4031460	4107253	+	60
II	4207323	4355030	II	4107253	4254960	+	60
II	4355030	4408483	II	4254961	4308414	+	60
II	4408484	4519991	II	4308414	4419921	+	60
II	4519992	4597181	II	4419921	4497110	+	60
II	4597182	4600246	II	4497110	4500174	+	60
II	4600249	4621752	II	4500174	4521677	+	60
II	4621752	4625413	II	4521679	4525340	+	60
II	4625414	4626248	II	4525340	4526174	+	60
II	4626248	4626303	II	4526175	4526230	+	60
II	4626304	4629449	II	4526230	4529375	+	60
II	4629473	4637311	II	4529375	4537213	+	60
II	4637312	4637486	II	4537213	4537387	+	60
II	4637486	4637803	II	4537395	4537712	+	60
II	4637803	4638355	II	4538652	4539204	+	60
II	4638355	4638923	II	4539236	4539804	+	60
III	5901	10630	III	0	4729	+	60
III	10631	11158	III	4729	5256	+	60
III	11160	22425	III	5256	16521	+	60
III	22431	29208	III	16521	23298	+	60
III	29208	52868	III	23299	46959	+	60
III	52872	143931	III	46959	138018	+	60
III	143932	227199	III	138018	221285	+	60
III	227199	259800	III	221306	253907	+	60
III	259802	292373	III	253907	286478	+	60
III	292374	292490	III	286478	286594	+	60
III	292491	371644	III	286594	365747	+	60
III	371644	723573	III	365748	717677	+	60
III	723573	725851	III	717678	719956	+	60
III	725894	726576	III	720001	720683	+	60
III	726577	873759	III	720683	867865	+	60
III	873759	942598	III	867866	936705	+	60
III	942599	968468	III	936705	962574	+	60
III	971744	995041	III	962574	985871	+	60
III	995042	1025482	III	985871	1016311	+	60
III	1025483	1089318	III	1016311	1080146	+	60
III	1089334	1092536	III	1080146	1083348	+	60
III	1097289	1098013	III	1083348	1084072	+	60
III	1151259	1181960	III	1084072	1114773	+	60
III	1181960	1215217	III	1135105	1168362	+	60
III	1215218	1215261	III	1168362	1168405	+	60
III	1215261	1299360	III	1168406	1252505	+	60
III	1299363	1442252	III	1252505	1395394	+	60
III	1442253	1540809	III	1395394	1493950	+	60
III	1541133	1623134	III	1493950	1575951	+	60
III	1623135	1732671	III	1575951	1685487	+	60
III	1732672	1803585	III	1685487	1756400	+	60
III	1803585	1821419	III	1756401	1774235	+	60
III	1821423	2196496	III	1774235	2149308	+	60
III	2196496	2399479	III	2149310	2352293	+	60
III	2399483	2490148	III	2352293	2442958	+	60
III	2490148	2490346	III	2442959	2443157	+	60
III	2490347	2490623	III	2443157	2443433	+	60
III	2490623	2490751	III	2443434	2443562	+	60
III	2490752	2495186	III	2443562	2447996	+	60
III	2495192	2495505	III	2447996	2448309	+	60
III	2495505	2497824	III	2448311	2450630	+	60
III	2497824	2498897	III	2450631	2451704	+	60
III	2498900	2500079	III	2451704	2452883	+	60
