chrom	start_CDS	end_CDS	length_CDS	pos_exons	strand	feature	gene_id	gene_name	transcript_id	product
I	130681	132594	1914	130681-132594	-	CDS	SPAC11D3.07c	toe4	SPAC11D3.07c.1	DNA-binding transcription factor, zf-fungal binuclear cluster type
I	133042	134694	1653	133042-134694	-	CDS	SPAC11D3.08c	None	SPAC11D3.08c.1	amino acid/polyamine family transmembrane transporter
I	135331	136515	1185	135331-136515	+	CDS	SPAC11D3.09	agm1	SPAC11D3.09.1	agmatinase 1, Agm1
I	138068	139372	1305	138068-139372	+	CDS	SPAC11D3.10	None	SPAC11D3.10.1	nifs homolog, possible cysteine desulfurase, implicated in iron-sulfur cluster assembly
I	139651	141671	1934	139651-141545,141589-141613,141658-141671	-	pseudogenic_transcript	SPAC11D3.11c	None	SPAC11D3.11c.1	DNA-binding transcription factor,zn(2)-C6 fungal-type,truncated
I	139716	139802	87	139716-139802	+	CDS	SPAC11D3.20	None	SPAC11D3.20.1	dubious
I	142815	143483	669	142815-143483	+	CDS	SPAC11D3.13	hsp3104	SPAC11D3.13.1	ThiJ domain protein, glyoxylase III
I	143805	147587	3783	143805-147587	-	CDS	SPAC11D3.14c	oxp2	SPAC11D3.14c.1	5-oxoprolinase (ATP-hydrolyzing), Oxp2
I	148817	152770	3954	148817-152770	+	CDS	SPAC11D3.15	oxp1	SPAC11D3.15.1	5-oxoprolinase (ATP-hydrolyzing), Oxp1
I	153291	153686	396	153291-153686	-	CDS	SPAC11D3.16c	None	SPAC11D3.16c.1	Schizosaccharomyces specific protein
I	155161	156918	1758	155161-156918	+	CDS	SPAC11D3.17	None	SPAC11D3.17.1	DNA-binding transcription factor, zf-fungal binuclear cluster type
I	157348	158844	1497	157348-158844	-	CDS	SPAC11D3.18c	None	SPAC11D3.18c.1	plasma membrane carboxylic acid transmembrane transporter
I	159460	160365	906	159460-160365	+	CDS	SPAC5H10.01	dgc1	SPAC5H10.01.1	mitochondrial D-glutamate cyclase Dgc1
I	160699	161421	723	160699-161421	-	CDS	SPAC5H10.02c	hsp3102	SPAC5H10.02c.1	glyoxylase III Hsp3102
I	164399	165058	660	164399-165058	+	CDS	SPAC5H10.03	None	SPAC5H10.03.1	phosphoglycerate mutase/6-phosphofructo-2-kinase family
I	165873	167021	1149	165873-167021	+	CDS	SPAC5H10.04	None	SPAC5H10.04.1	NADPH dehydrogenase, (Old yellow enzyme) involved in small alpha,beta-unsaturated carbonyl compounds
I	167293	167883	591	167293-167883	-	CDS	SPAC5H10.05c	None	SPAC5H10.05c.1	FAD binding oxidoreductase, implicated in cellular detoxification
I	169034	170302	1269	169034-170302	-	CDS	SPAC5H10.06c	adh4	SPAC5H10.06c.1	alcohol dehydrogenase Adh4
I	171689	171958	270	171689-171958	+	CDS	SPAC5H10.07	None	SPAC5H10.07.1	Schizosaccharomyces pombe specific protein
I	172580	173431	852	172580-173431	-	CDS	SPAC5H10.08c	pan6	SPAC5H10.08c.1	pantoate-beta-alanine ligase
I	173463	174266	804	173463-174266	-	CDS	SPAC5H10.09c	ecm31	SPAC5H10.09c.1	3-methyl-2-oxobutanoatehydroxymethyltransferase Ecm31
I	175446	176624	1179	175446-176624	+	CDS	SPAC5H10.10	None	SPAC5H10.10.1	NADPH dehydrogenase, (Old yellow enzyme) involved in small alpha,beta-unsaturated carbonyl compounds
I	177214	178203	990	177214-178203	+	CDS	SPAC5H10.11	gmh1	SPAC5H10.11.1	alpha-1,2-galactosyltransferase Gmh1
I	178906	180021	1116	178906-180021	-	CDS	SPAC5H10.12c	otg1	SPAC5H10.12c.1	alpha-1,3-galactosyltransferase Otg1
I	181296	182336	1041	181296-182336	-	CDS	SPAC5H10.13c	gmh2	SPAC5H10.13c.1	alpha-1,2-galactosyltransferase Gmh2
I	183458	186859	3402	183458-186859	-	CDS	SPAC13G6.01c	rad8	SPAC13G6.01c.1	ATP-dependent chromatin remodeller/ubiquitin-protein ligase E3 Rad8
I	187499	188257	759	187499-188257	-	CDS	SPAC13G6.02c	rps101	SPAC13G6.02c.1	40S ribosomal protein S3a
I	189778	192054	2277	189778-192054	+	CDS	SPAC13G6.03	gpi7	SPAC13G6.03.1	Pig-G, CP2 mannose-ethanolamine phosphotransferase GPI anchor biosynthesis protein Gpi7
I	192909	193397	264	192909-193014,193072-193207,193376-193397	+	CDS	SPAC13G6.04	tim8	SPAC13G6.04.1	Tim8-Tim13 mitochondrial intermembrane space protein transporter complex subunit Tim8
I	193563	194680	762	193563-193922,193971-194060,194118-194235,194487-194680	-	CDS	SPAC13G6.05c	trs33	SPAC13G6.05c.1	TRAPPI,II,III complex subunit Trs33
I	195462	198557	3096	195462-198557	-	CDS	SPAC13G6.06c	gcv2	SPAC13G6.06c.1	glycine cleavage complex subunit P
I	199330	200049	720	199330-200049	-	CDS	SPAC13G6.07c	rps601	SPAC13G6.07c.1	40S ribosomal protein S6
I	200863	202470	1608	200863-202470	+	CDS	SPAC13G6.08	fzr2	SPAC13G6.08.1	meiotic fizzy-related APC coactivator Fzr2
I	202808	203777	825	202808-203070,203216-203777	+	CDS	SPAC13G6.09	tsr402	SPAC13G6.09.1	SSU-rRNA maturation protein Tsr4 homolog 2 Tsr402
I	204782	206374	1593	204782-206374	-	CDS	SPAC13G6.10c	asl1	SPAC13G6.10c.1	cell wall protein Asl1, predicted O-glucosyl hydrolase
I	206605	208068	1215	206605-207744,207994-208068	-	CDS	SPAC13G6.11c	erg12	SPAC13G6.11c.1	mevalonate kinase Erg12
I	208576	211201	2580	208576-208660,208707-211201	-	CDS	SPAC13G6.12c	chs1	SPAC13G6.12c.1	chitin synthase I
I	211370	211717	348	211370-211717	+	CDS	SPAC13G6.13	None	SPAC13G6.13.1	dubious
I	212721	213353	633	212721-213353	+	CDS	SPAC13G6.14	aps1	SPAC13G6.14.1	diadenosine 5',5'''-p1,p6-hexaphosphate hydrolase Aps1
I	214973	215464	492	214973-215464	-	CDS	SPAC13G6.15c	rcn1	SPAC13G6.15c.1	serine/threonine protein phosphatase (calcipressin) regulatory subunit Rcn1
I	217699	218379	681	217699-218379	+	CDS	SPAC24B11.05	None	SPAC24B11.05.1	pyrimidine 5'-nucleotidase
I	219356	220405	1050	219356-220405	-	CDS	SPAC24B11.06c	sty1	SPAC24B11.06c.1	MAP kinase Sty1
I	221838	223523	1686	221838-223523	-	CDS	SPAC24B11.07c	None	SPAC24B11.07c.1	oxidoreductase
I	224526	225698	1173	224526-225698	-	CDS	SPAC24B11.08c	erv46	SPAC24B11.08c.1	COPII-coated vesicle component Erv46
I	228975	229331	357	228975-229331	+	CDS	SPAC24B11.09	mpc2	SPAC24B11.09.1	mitochondrial carrier, pyruvate Mpc2
I	231149	233947	2799	231149-233947	-	CDS	SPAC24B11.10c	cfh1	SPAC24B11.10c.1	SEL1/TPR repeat protein Cfh1
I	234521	236344	1824	234521-236344	-	CDS	SPAC24B11.11c	sid2	SPAC24B11.11c.1	serine/threonine protein kinase (NDR family) Sid2
I	236888	241175	4209	236888-240724,240804-241175	-	CDS	SPAC24B11.12c	dnf2	SPAC24B11.12c.1	plasma membrane phospholipid-translocating ATPase complex, ATPase subunit Dnf2
I	243037	243628	501	243037-243173,243235-243291,243322-243628	+	CDS	SPAC24B11.14	None	SPAC24B11.14.1	Schizosaccharomyces pombe specific protein
I	244147	245157	1011	244147-245157	+	CDS	SPAC24B11.13	hem3	SPAC24B11.13.1	hydroxymethylbilane synthase Hem3
I	245723	247598	1827	245723-247545,247595-247598	-	CDS	SPAC806.02c	None	SPAC806.02c.1	CIA machinery CIA1/CFD1 fusion protein
I	248145	248507	363	248145-248507	-	CDS	SPAC806.03c	rps2601	SPAC806.03c.1	40S ribosomal protein S26
I	249704	249922	219	249704-249922	-	CDS	SPAC806.11	None	SPAC806.11.1	dubious
I	253918	255433	1317	253918-254029,254081-254201,254249-255307,255409-255433	-	CDS	SPAC806.04c	duf8901	SPAC806.04c.1	cobalt/nickel-dependent phosphatase involved in cellular detoxification/metabolite repair Duf8901
I	257223	257600	378	257223-257600	+	CDS	SPAC806.05	lyr3	SPAC806.05.1	mitochondrial LYR family protein
I	257796	258902	1107	257796-258902	-	CDS	SPAC806.06c	None	SPAC806.06c.1	nicotinamide mononucleotide (NMN) adenylyltransferase
I	260420	260875	456	260420-260875	+	CDS	SPAC806.07	ndk1	SPAC806.07.1	nucleoside diphosphate kinase Ndk1
I	261172	263262	2034	261172-263041,263099-263262	-	CDS	SPAC806.08c	mod21	SPAC806.08c.1	gamma tubulin complex GCP5 subunit Mod21
I	264218	266206	1098	264218-264829,264884-265244,266082-266206	-	CDS	SPAC1639.01c	elo1	SPAC1639.01c.1	fatty acid elongase Elo1
I	268522	271953	2658	268522-268626,268837-268862,268919-268937,269034-269104,269176-269242,269289-269501,269547-269562,269608-269627,269671-269673,269721-270676,270712-271612,271653-271807,271848-271953	-	CDS	SPAC1639.02c	trk2	SPAC1639.02c.1	plasma membrane potassium ion transmembrane transporter Trk2
I	272211	283239	10968	272211-272274,272336-283239	+	CDS	SPAC1F5.11c	tra2	SPAC1F5.11c.1	NuA4 complex phosphatidylinositol pseudokinase complex subunit Tra2
I	283512	284815	1185	283512-284608,284662-284682,284749-284815	-	CDS	SPAC1F5.10	fal1	SPAC1F5.10.1	exon junction complex subunit, ATP-dependent RNA helicase Fal1 (conflicting process, human yeast)
I	285644	287413	1770	285644-287413	+	CDS	SPAC1F5.09c	shk2	SPAC1F5.09c.1	PAK-related kinase Shk2
I	287581	289041	1461	287581-289041	+	CDS	SPAC1F5.08c	yam8	SPAC1F5.08c.1	plasma membrane stretch-activated calcium ion channel regulatory subunit Yam8
I	289385	290857	1473	289385-290857	+	CDS	SPAC1F5.07c	hem14	SPAC1F5.07c.1	protoporphyrinogen oxidase Hem14
I	291091	293637	2547	291091-293637	-	CDS	SPAC1F5.06	lsh1	SPAC1F5.06.1	ER heat shock protein Lsh1
I	294441	294896	456	294441-294896	+	CDS	SPAC1F5.05c	mso1	SPAC1F5.05c.1	exocytic docking protein Mso1
I	295968	301493	5526	295968-301493	+	CDS	SPAC1F5.04c	cdc12	SPAC1F5.04c.1	cytokinetic formin Cdc12
I	302444	303793	1149	302444-302477,302679-303793	+	CDS	SPAC1F5.03c	None	SPAC1F5.03c.1	FAD-dependent oxidoreductase involved in late endosome to Golgi transport
I	304752	306230	1479	304752-306230	-	CDS	SPAC1F5.02	pdi1	SPAC1F5.02.1	ER protein disulfide isomerase
I	307394	311278	3885	307394-311278	-	CDS	SPAC18B11.11	None	SPAC18B11.11.1	GTPase activating protein, Tsc2 paralog
I	312120	314203	1845	312120-313755,313928-314012,314080-314203	-	CDS	SPAC18B11.10	tup11	SPAC18B11.10.1	transcriptional corepressor Tup11
I	315653	316511	624	315653-315723,315826-316132,316208-316285,316344-316511	+	CDS	SPAC18B11.09c	None	SPAC18B11.09c.1	O-acetyltransferase activity
I	316955	317521	288	316955-317027,317166-317223,317263-317352,317411-317447,317492-317521	+	CDS	SPAC18B11.08c	pat10	SPAC18B11.08c.1	ER membrane chaperone for multipass membrane proteins, PAT complex subunit (asterix), Pat10
I	318215	319083	456	318215-318256,318304-318368,318582-318702,318808-318911,318960-319083	+	CDS	SPAC18B11.07c	rhp6	SPAC18B11.07c.1	histone H2B-K119 ubiquitin ligase complex (HULC), ubiquitin conjugating enzyme E2 subunit Rhp6/Rad6
I	319456	320439	984	319456-320439	-	CDS	SPAC18B11.06	lcp5	SPAC18B11.06.1	U3 snoRNP-associated protein Lcp5
I	320873	322153	1281	320873-322153	-	CDS	SPAC18B11.05	gpi18	SPAC18B11.05.1	pig-V,dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase
I	323151	323926	573	323151-323282,323329-323672,323791-323823,323863-323926	-	CDS	SPAC18B11.04	ncs1	SPAC18B11.04.1	neuronal calcium sensor related protein Ncs1
I	324674	326078	1344	324674-324704,324766-326078	+	CDS	SPAC18B11.03c	None	SPAC18B11.03c.1	ER alcohol acetyltransferase
I	326522	327706	1185	326522-327706	+	CDS	SPAC18B11.02c	pus9	SPAC18B11.02c.1	tRNA pseudouridine synthase Pus9
I	328199	329689	1491	328199-329689	+	CDS	SPAC12G12.16c	None	SPAC12G12.16c.1	Fen1 family nuclease, XP-G family
I	329923	331433	1419	329923-329961,330006-330664,330713-331433	-	CDS	SPAC12G12.15	sif3	SPAC12G12.15.1	mitochondrial protein, involved in mitochondrial gene expression
I	332466	333995	1530	332466-333995	+	CDS	SPAC12G12.14c	pfs2	SPAC12G12.14c.1	mRNA cleavage and polyadenylation specificity factor complex, WD repeat protein Pfs2
I	334416	336470	2055	334416-336470	+	CDS	SPAC12G12.13c	cid14	SPAC12G12.13c.1	TRAMP complex poly(A) polymerase subunit Cid14
I	336686	337772	975	336686-336899,336954-337658,337717-337772	-	CDS	SPAC12G12.12	gms2	SPAC12G12.12.1	Golgi UDP-galactose transmembrane transporter Gms2
I	339186	340474	1098	339186-339348,339434-339883,339990-340474	+	CDS	SPAC12G12.11c	miy1	SPAC12G12.11c.1	Lys48-specific deubiquitinase Mindy family, Miy1
I	340714	341976	1263	340714-341976	-	CDS	SPAC12G12.10	wdr21	SPAC12G12.10.1	WD repeat protein, human DDB1 and CUL4-associated factor 4 ortholog Wdr21
I	342302	345235	2934	342302-345235	-	CDS	SPAC12G12.09	eti1	SPAC12G12.09.1	WD repeat protein associated with stress granule
I	345706	345933	177	345706-345731,345783-345933	+	CDS	SPAC12G12.17	nce101	SPAC12G12.17.1	non-classical export protein Nce101
I	346187	346828	642	346187-346828	-	CDS	SPAC12G12.08	mrpl6	SPAC12G12.08.1	mitochondrial ribosomal protein subunit L6
I	347152	348437	1239	347152-347274,347322-348437	+	CDS	SPAC12G12.07c	cpn1	SPAC12G12.07c.1	caprin, Cpn1
I	348920	350011	1092	348920-350011	+	CDS	SPAC12G12.06c	rcl1	SPAC12G12.06c.1	rRNA processing protein Rcl1
I	350884	351375	492	350884-351375	+	CDS	SPAC12G12.05c	taf9	SPAC12G12.05c.1	SAGA complex/transcription factor TFIID complex subunit Taf9
I	352599	354347	1749	352599-354347	-	CDS	SPAC12G12.04	mcp60	SPAC12G12.04.1	mitochondrial protein folding chaperone Hsp60/Mcp60
I	355891	357621	1731	355891-357621	-	CDS	SPAC12G12.03	cip2	SPAC12G12.03.1	splicing factor, RNA-binding protein Cip2
I	358331	359110	552	358331-358543,358606-358736,358799-358931,359036-359110	-	CDS	SPAC12G12.02	efg1	SPAC12G12.02.1	rRNA processing protein Efg1
I	359687	362404	2718	359687-362404	+	CDS	SPAC12G12.01c	sea4	SPAC12G12.01c.1	GATOR2-SEACAT complex ubiquitin-protein ligase E3 subunit Sea4
I	362969	364547	1284	362969-363003,363067-363090,363163-363691,363787-364386,364452-364547	+	CDS	SPAC630.03	arp3	SPAC630.03.1	ARP2/3 actin-organizing complex actin-related protein subunit Arp3
I	364919	365419	501	364919-365419	-	CDS	SPAC630.04c	None	SPAC630.04c.1	Schizosaccharomyces specific protein
I	366392	368623	2232	366392-368623	+	CDS	SPAC630.05	gyp7	SPAC630.05.1	RabGAP Gyp7
I	368725	369489	567	368725-368925,369003-369084,369127-369396,369476-369489	-	CDS	SPAC630.06c	None	SPAC630.06c.1	custos ortholog, conserved eukaryotic protein, implicated in cell growth or cell division
I	370085	371377	1293	370085-371377	-	CDS	SPAC630.07c	None	SPAC630.07c.1	GTPase superfamily protein, septin related
I	372552	373454	903	372552-373454	-	CDS	SPAC630.08c	erg25	SPAC630.08c.1	C-4 methylsterol oxidase Erg25
I	374049	374366	318	374049-374366	+	CDS	SPAC630.15	mug177	SPAC630.15.1	Schizosaccharomyces pombe specific protein
I	375261	376094	834	375261-376094	-	CDS	SPAC630.09c	mug58	SPAC630.09c.1	GLYK family kinase of unknown specificity, implicated in nucleotide metabolism
I	378042	378854	813	378042-378854	+	CDS	SPAC630.10	bmt2	SPAC630.10.1	rRNA (adenine) methyltransferase activity Bmt2/human SAMTOR (S-adenosylmethionine sensor for the MTOR) ortholog
I	379293	380023	387	379293-379309,379365-379383,379460-379532,379597-379681,379785-379840,379887-380023	+	CDS	SPAC630.11	vps55	SPAC630.11.1	vacuolar sorting protein Vps55
I	381064	382332	1269	381064-382332	+	CDS	SPAC630.12	ted2	SPAC630.12.1	GPI-remodelling mannose-ethanolamine phosphate phosphodiesterase Ted2
I	382437	386456	4020	382437-386456	-	CDS	SPAC630.13c	tsc2	SPAC630.13c.1	Rheb GAP, tuberin Tsc2
I	387175	389608	1713	387175-388322,388586-388938,389336-389423,389485-389608	-	CDS	SPAC630.14c	tup12	SPAC630.14c.1	transcriptional corepressor Tup12
I	390684	392846	2163	390684-392846	-	CDS	SPAC1751.01c	gti1	SPAC1751.01c.1	gluconate transmembrane transporter inducer Gti1
I	396812	397712	312	396812-396841,396972-397082,397478-397552,397617-397712	+	CDS	SPAC1751.04	loc1	SPAC1751.04.1	ribosome biogenesis protein Loc1
I	398247	398641	282	398247-398379,398430-398535,398599-398641	-	CDS	SPAC1751.02c	rsm19	SPAC1751.02c.1	mitochondrial ribosomal protein subunit S19
I	398836	400278	1209	398836-398886,398950-399106,399278-400278	+	CDS	SPAC1751.03	tif313	SPAC1751.03.1	translation initiation factor eIF3m
I	400892	401452	381	400892-400907,400944-401113,401213-401305,401351-401452	+	CDS	SPAC31A2.02	trm112	SPAC31A2.02.1	eRF1 methyltransferase complex and tRNA (m2G10) methyltransferase complex regulatory subunit Trm112
I	402035	402737	651	402035-402056,402109-402737	+	CDS	SPAC31A2.03	mrp11	SPAC31A2.03.1	mitochondrial ribosomal protein subunit L10
I	403081	403665	585	403081-403665	-	CDS	SPAC31A2.04c	pre1	SPAC31A2.04c.1	20S proteasome complex subunit beta 4 Pre1
I	404330	409381	4764	404330-404407,404448-405104,405144-405279,405320-407103,407148-407615,407659-408994,409038-409233,409273-409381	-	CDS	SPAC31A2.05c	mis4	SPAC31A2.05c.1	cohesin loading factor (adherin) Mis4/Scc2
I	410201	411829	1629	410201-411829	+	CDS	SPAC31A2.06	atp25	SPAC31A2.06.1	mitochondrial poly(A) RNA polymerase Atp25
I	412040	414686	2547	412040-414363,414464-414686	-	CDS	SPAC31A2.07c	dbp10	SPAC31A2.07c.1	ATP-dependent RNA helicase Dbp10
I	415552	416037	486	415552-416037	+	CDS	SPAC31A2.08	mrp20	SPAC31A2.08.1	mitochondrial ribosomal protein subunit L23
I	416305	417741	1341	416305-417571,417630-417694,417733-417741	-	CDS	SPAC31A2.09c	apm4	SPAC31A2.09c.1	AP-2 adaptor complex mu subunit Apm4
I	418294	419957	1383	418294-418416,418456-418524,418626-418660,418760-418952,418995-419957	+	CDS	SPAC31A2.10	None	SPAC31A2.10.1	Ran GTPase binding protein
I	420522	421757	1236	420522-421757	-	CDS	SPAC31A2.11c	cuf1	SPAC31A2.11c.1	DNA-binding transcription factor, nutritional copper sensing Cuf1
I	424576	426366	1791	424576-426366	+	CDS	SPAC31A2.12	rod1	SPAC31A2.12.1	arrestin-related substrate adaptor Rod1
I	426963	427292	276	426963-427121,427176-427292	-	CDS	SPAC31A2.13c	sft1	SPAC31A2.13c.1	SNARE Sft1
I	427898	430863	2889	427898-428177,428255-430863	+	CDS	SPAC31A2.14	bun107	SPAC31A2.14.1	WD repeat protein, human WDR48 family Bun107
I	430967	432224	1074	430967-431212,431251-431712,431760-431994,432094-432224	-	CDS	SPAC31A2.15c	dcc1	SPAC31A2.15c.1	Ctf18 RFC-like complex subunit Dcc1
I	432958	436395	3306	432958-435379,435418-435645,435691-435799,435849-436395	+	CDS	SPAC31A2.16	gef2	SPAC31A2.16.1	RhoGEF Gef2
I	436969	437715	747	436969-437715	-	CDS	SPAC13C5.01c	pre9	SPAC13C5.01c.1	20S proteasome complex subunit alpha 3 Pre9
I	438522	439834	1236	438522-438561,438598-438814,438856-439834	+	CDS	SPAC13C5.02	dre4	SPAC13C5.02.1	splicing associated factor Dre4
I	439974	441811	1734	439974-440436,440479-441083,441146-441811	+	CDS	SPAC13C5.03	tht1	SPAC13C5.03.1	nuclear membrane protein involved in karyogamy Tht1
I	442623	443369	747	442623-443369	+	CDS	SPAC13C5.04	None	SPAC13C5.04.1	class I glutamine amidotransferase family protein, conserved in fungi, bacteria, plants
I	444055	445696	1557	444055-445475,445521-445606,445647-445696	-	CDS	SPAC13C5.05c	None	SPAC13C5.05c.1	N-acetylglucosamine-phosphate mutase
I	447017	447594	534	447017-447324,447369-447594	-	CDS	SPAC13C5.06c	mug121	SPAC13C5.06c.1	Schizosaccharomyces pombe specific protein Mug121
I	448707	450862	1950	448707-448874,448923-449428,449499-450073,450117-450300,450346-450862	+	CDS	SPAC13C5.07	mre11	SPAC13C5.07.1	Mre11 nuclease
I	456063	457757	1695	456063-457757	+	CDS	SPAC23E2.01	fep1	SPAC23E2.01.1	DNA-binding transcription factor, zf-GATA type, iron-sensing Fep1
I	459264	463024	3708	459264-461735,461789-463024	+	CDS	SPAC23E2.02	lsd2	SPAC23E2.02.1	histone demethylase SWIRM2
I	463704	465413	1710	463704-465413	-	CDS	SPAC23E2.03c	ste7	SPAC23E2.03c.1	meiosis specific arrestin family membrane adaptor Ste7
I	469557	472172	2616	469557-472172	-	CDS	SPAC24H6.13	None	SPAC24H6.13.1	plasma membrane calcium permeable gated cation channel
